Book-Title,Book-Author,Publisher
Moonlight Becomes You,Mary Higgins Clark,Pocket
The Adventures of Tom Sawyer,Mark Twain,Tor Books
Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,HarperCollins
Lakota Woman,Dog Mary Crow,Perennial
The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,HarperTorch
"Heroes of Their Own Lives: The Politics and History of Family Violence, Boston 1880-1960",Linda Gordon,Penguin USA
The Florence King Reader,Florence King,St. Martin's Press
The Lovely Bones: A Novel,Alice Sebold,"Little, Brown"
Impossible Vacation,Spalding Gray,Random House Inc
Hannibal,Thomas Harris,Dell Publishing Company
London : The Novel,EDWARD RUTHERFURD,Fawcett
Life Before Man,Margaret Atwood,Fawcett Books
Cavedweller,Dorothy Allison,Plume Books
The Robber Bride,Margaret Atwood,Bantam
Wouldn't Take Nothing for My Journey Now,MAYA ANGELOU,Random House
The House of Mirth (Library of America),Edith Wharton,Vintage Books USA
Ohitika Woman,Mary Brave Bird,Pub Group West
Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,John G. Neihardt,University of Nebraska Press
The Community in America,Roland Warren,University Press of America
"The Best in Tent Camping: Smoky Mountains : A Guide for Campers Who Hate Rvs, Concrete Slabs, and Loud Portable Stereos (Best in Tent Camping Colorado)",Johnny Molloy,Globe Pequot Pr
Mawrdew Czgowchwz (New York Review Books Classics),James McCourt,New York Review of Books
Prozac Nation: Young and Depressed in America : A Memoir,Elizabeth Wurtzel,Riverhead Books
The Journey From Here,Bill Bradley,Artisan Publishers
The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,Amber-Allen Publishing
El desarrollo de Leonardo da Vinci (BiografÃ­as y memorias),Luis Racionero,"Plaza &amp, JanÃ©s"
Gastronomia divina (L'Ã¡ncora),Eugeni Perea SimÃ³n,Destino
Desaparecido: LA Autentica Historia De LA Ejecucion De Charles Horman,Thomas Hauser,Lectorum Pubns (J)
Hotel Europa (El BalancÃ­),VicenÃ§ Villatoro,Edicions 62
La dona dels ulls de pluja: Barcelona anys 90 (El BalancÃ­),VÃ­ctor Mora,Edicions 62
El paraÃ­so (Tiempos modernos),Elena Castedo,"Editiones B, Grupo Zeta"
Negra i consentida (ColÂ¨lecciÃ³ El Mirall),OfÃ¨lia Dracs,Laia
Essa efa (ColÂ¨lecciÃ³ El Mirall i el temps),OfÃ¨lia Dracs,Editorial Laia
Espurnes de sang (La Negra),Antoni Serra,Edicions de la Magrana
Les llengÃ¼es d'Africa (Biblioteca universal EmpÃºries),M. Carme Junyent,Editorial EmpÃºries
TrÃ nsit (Area contemporÃ nia),Jaume CapÃ³,Area
L'home del sac,MÃ rius Serra,Columna
GrÃ cies per la propina (Columna),Ferran Torrent,Columna
El dia que es va cremar el Liceu (La primera Columna),Joan Agut,Columna
CÃ³mo ser una mujer y no morir en el intento (ColecciÃ³n El Papagayo),Carmen Rico-Godoy,Ediciones Temas de Hoy
Una casa en Irlanda,Maeve Binchy,Salamandra
La mirada del tafur (ColÂ¨lecciÃ³ clÃ ssica),Ferran Torrent,Columna
Amorrada al pilÃ³ (Columna),Maria JaÃ©n,Columna
Blur (Melody Maker),Paul Lester,Hal Leonard Corp
War and Peace (Wordsworth Classics),Leo Tolstoy,NTC/Contemporary Publishing Company
A-Z of Behaving Badly,Simon Nye,Trafalgar Square
He Understanding Masculine Psychology,Robert A Johnson,Harpercollins Publisher
Las DOS Muertes De Gardel (Ficcionario),Horacio Vazquez-Rial,Ediciones B
You Can Surf the Net: Your Guide to the World of the Internet,Marc Gascoigne,Puffin Books
I Want to Be...a Veterinarian (I Want to Be... Series),Stephanie Maze,Harcourt
Alice's Tulips,Sandra Dallas,St. Martin's Griffin
Centaur Aisle,Piers Anthony,Ballantine Books
Crewel Lye,Piers Anthony,Ballantine Books
Dragonflight (Dragonriders of Pern Trilogy (Paperback)),Anne McCaffrey,Del Rey Books
Last Sword of Power (Stones of Power),David Gemmell,Del Rey Books
Dating Big Bird,Laura Zigman,Dial Books
The Firm,John Grisham,Bantam Dell Publishing Group
Murder at the Kennedy Center (Capital Crime Mysteries),Margaret Truman,Fawcett Books
"Guinness World Records 2000 (Guinness Book of Records, 2000)",Nic Kynaston,Bantam Books
Forever Amber Brown (Amber Brown (Paperback)),Paula Danziger,Jump at the Sun
Philip Jose Farmer's The Dungeon,Richard A. Lupoff,I Books
Pool of Radiance: The Ruins of Myth Drannor (Forgotten Realms),Carrie Bebris,Wizards of the Coast
"Feminism and Suffrage: The Emergence of an Independent Women's Movement in America, 1848-1869",Ellen Carol Dubois,Cornell University Press
Why Are Boys So Weird (Tales from Third Grade),Candice F. Ransom,Troll Communications Llc
"Sheldon &amp, Mrs. Levine: An Excruciating Correspondence",Sam Bobrick,Price Stern Sloan
Black Beauty (Great Illustrated Classics (Playmore)),Anna Sewell,Playmore Inc. Publishers
Oliver Twist (Great Illustrated Classics),Charles Dickens,Playmore Inc. Publishers
The wild ponies of Assateague Island (Books for young explorers),Donna K Grosvenor,National Geographic Society
Frankenstein (Illustrated Classics Series),Mary Wollstonecraft Shelley,Kidsbooks.Com
The Scarlet Letter,NATHANIEL HAWTHORNE,Bantam
Dragonsong (Harper Hall Trilogy),Anne McCaffrey,Bantam
The Watch House,Robert Westall,HarperTrophy
Was It Something I Said?,Valerie Block,Soho Press
Cloud Nine,Luanne Rice,Bantam Books
The Lovely Bones,Alice Sebold,Back Bay Books
The Tortilla Curtain,T. Coraghessan Boyle,Penguin Books
Sarah Conley,Ellen Gilchrist,Back Bay Books
A Widow for One Year,JOHN IRVING,Ballantine Books
The Clearing,TIM GAUTREAUX,Knopf
Empire Falls,Richard Russo,Vintage Books USA
Oryx and Crake,Margaret Atwood,Nan A. Talese
Sophie's World: A Novel About the History of Philosophy (Berkeley Signature Edition),Jostein Gaarder,Berkley Publishing Group
Black and Blue,ANNA QUINDLEN,Dell
Le Divorce (William Abrahams Book),Diane Johnson,Plume Books
The Face,DEAN KOONTZ,Bantam
She's Come Undone (Oprah's Book Club),Wally Lamb,Pocket
Falling Leaves: The True Story of an Unwanted Chinese Daughter,Adeline Yen Mah,Broadway Books
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,Owl Books
"The Game of Kings (Lymond Chronicles, 1)",DOROTHY DUNNETT,Vintage
"RUSSIA HOUSE, THE",JOHN LE CARRE,Bantam
Solv-A-Crime Puzzles (Dover Game and Puzzle Activity Books),A. C. Gordon,Dover Publications
The First Wives Club Movie Tie In,Olivia Goldsmith,Pocket
Selected Poems of Emily Dickinson,Emily Dickinson,Tor Books
Watercolor School (Reader's Digest Learn-As-You-Go Guides),Hazel Harrison,Readers Digest
Joshua In the Holy Land,Joseph Girzone,Simon Schuster Trade
The Messenger,JOSEPH GIRZONE,Image
Sisters of the Earth: Women's Prose and Poetry About Nature,Lorraine Anderson,Vintage Books USA
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,Tyndale House Publishers
Househusband,AD HUDLER,Ballantine Books
Life Messages: Inspiration For The Woman's Spirit,Josephine Carlton,Andrews McMeel Publishing
Letters from a Nut,Ted L. Nancy,William Morrow
Karl Marx: A Life,Francis Wheen,"W.W. Norton &amp, Company"
The Shining,Stephen King,Pocket
The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon,Hyperion
The Sky Is Falling,Sidney Sheldon,Warner Books
Santa Pete : A Novel Of Christmas Present And Past,Christopher Moore,"Simon &amp, Schuster"
Mount Vernon Love Story : A Novel of George and Martha Washington,Mary Higgins Clark,"Simon &amp, Schuster"
The Kingdom: Arabia and the House of Sa'Ud,Robert Lacey,Harper Mass Market Paperbacks (Mm)
Florida Road Kill: A Novel,Tim Dorsey,HarperTorch
The 37th Hour,JODI COMPTON,Delacorte Press
Be Cool,Elmore Leonard,Dell Publishing Company
The Hunted,Elmore Leonard,Warner Books (Mm)
The Saints of Big Harbour: A Novel,Lynn Coady,Houghton Mifflin Company
Old Flames,John Lawton,Atlantic Monthly Press
From the Earth: Chinese Vegetarian Cooking,Eileen Yin-Fei Lo,MacMillan Publishing Company.
Living in the Presence: Disciplines for the Spiritual Heart,Tilden H. Edwards,Harpercollins
The Bean Trees,Barbara Kingsolver,Perennial
Homeland and Other Stories,Barbara Kingsolver,Perennial
"A Suitable Boy : Novel, A",Vikram Seth,Perennial
Daughter of Fortune,Isabel Allende,Perennial
The Fly on the Wall,Tony Hillerman,HarperTorch
Cranford (The World's Classics),Elizabeth Gaskell,Oxford University Press
The Red Tent (Bestselling Backlist),Anita Diamant,Picador USA
The Right Hand of Amon,Lauren Haney,Avon
Last Blue: Poems,Gerald Stern,"W.W. Norton &amp, Company"
The Cat Who Wasn't There,Lilian Jackson Braun,Putnam Pub Group
Isle of Dogs,Patricia Daniels Cornwell,Putnam Publishing Group
Light a Penny Candle,Maeve Binchy,Signet Book
The Blue Last: A Richard Jury Mystery (Richard Jury Mysteries (Paperback)),Martha Grimes,Onyx Books
Turn of the Screw and Short N,Henry James,Signet Book
The Country of the Pointed Firs (Dover Thrift Editions),Sarah Orne Jewett,Dover Publications
Early Poems (Dover Thrift Editions),William Carlos Williams,Dover Publications
Barchester Towers (Oxford Pocket Classics),Anthony Trollope,Random House Value Publishing
REEF,Edith Wharton,Scribner
Wednesday the Rabbi Got Wet,Harry Kemelman,I Books
Things My Girlfriend and I Have Argued About: A Novel,Mil Millington,Villard Books
Listening Hearts: Discerning Call in Community,Suzanne G. Farnham,Morehouse Group
Unattainable Earth,Czeslaw Milosz,Ecco Press
"The Practice of Prayer (New Church's Teaching Series, Vol 4)",Margaret Guenther,Cowley Publications
Vertical Poetry: Recent Poems,Roberto Juarroz,White Pine Press (NY)
Rubinstein's Chess Masterpieces,Akiba Rubinstein,Dover Publications
The Nanny Diaries: A Novel,Emma McLaughlin,St. Martin's Press
Biblioteca Universale Rizzoli: Sulla Sponda Del Fiume Piedra,P Coelho,Fabbri - RCS Libri
I Giorni Dell'abbandono,Elena Ferrante,Edizioni E/O
The Gizmo,Paul Jennings,Puffin
The Last Best Hope of Earth: Abraham Lincoln and the Promise of America,"Mark E., Jr. Neely",Harvard University Press
Organic Chemistry (Saunders Golden Sunburst Series),Stephen J. Weininger,Saunders College Publishing
Secrets of St. John's Wort: A Lynn Sonberg Book,Larry Katzenstein,St. Martin's Press
Diet for a Poisoned Planet: How to Choose Safe Foods for You and Your Family,David Steinman,Ballantine Books
"Punished by Rewards: The Trouble With Gold Stars, Incentive Plans, A'S, Praise, and Other Bribes",Alfie Kohn,Houghton Mifflin
Montessori Today: A Comprehensive Approach to Education from Birth to Adulthood,Paula Polk Lillard,Schocken Books
Oil Painting Techniques (Artist's Painting Library),David Lewis,Watson-Guptill Publications
Going down swinging,Billie Livingston,Random House Canada
Confessions of a Sociopathic Social Climber : The Katya Livingston Chronicles (Katya Livingston Chronicles (Hardcover)),Adele Lang,Thomas Dunne Books
Like a Hole in the Head,Jen Banbury,"Little Brown &amp, Co"
Postmortem,Patricia Daniels Cornwell,Harper Mass Market Paperbacks (Mm)
The Cove,Catherine Coulter,Jove Books
An Inconvenient Woman,Dominick Dunne,Bantam Books
Shock Wave (Dirk Pitt Adventures (Paperback)),Clive Cussler,Pocket
While My Pretty One Sleeps,Mary Higgins Clark,Pocket
Antipodes 10,John Pascal,Noble House
Kick Ass: Selected Columns of Carl Hiaasen,Carl Hiaasen,Berkley Publishing Group
Everything Is Illuminated: A Novel,Jonathan Safran Foer,Houghton Mifflin Company
Life of Pi,Yann Martel,Harvest Books
Rules of the Wild,Francesca Marciano,Random House Inc
Three Junes,JULIA GLASS,Anchor
Back Roads,Tawni O'Dell,Signet Book
In Her Shoes : A Novel,Jennifer Weiner,Atria Books
The Kiss,Danielle Steel,Delacorte Press
Home Spun: A Collection,Leon Hale,Winedale Publishing
Sweet Hereafter Movie Tie-In : A Novel,Russell Banks,Perennial
The Rime of the Ancient Mariner and Other Poems,Samuel Taylor Coleridge,Dover Publications
11th Hour,Bradley Warshauer,Pinnacle Books
In Country RI,Bobbie Ann Mason,Perennial
Brazen Virtue,Nora Roberts,Bantam Books
Ghost Moon,Karen Robards,Dell Publishing Company
Brewing Up a Storm: A John Thatcher Mystery,Emma Lathen,St Martins Pr
Strangers,Dean R. Koontz,Berkley Publishing Group
Milk and Honey (Peter Decker/Rina Lazarus Novels),Faye Kellerman,Avon
The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,Penguin Books
Night Tales,Nora Roberts,Silhouette
A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,Ballantine Books
Chopping Spree,DIANE MOTT DAVIDSON,Bantam
Four Blondes,Candace Bushnell,Grove Press
River's End,Nora Roberts,Jove Books
Summer Island,KRISTIN HANNAH,Ballantine Books
The Straw Men,Michael Marshall,Jove Books
The Doctor the Patient: The Personal Journey of a Physician With Cancer,Allen Widome,Editech Pr
The Street Lawyer,John Grisham,Doubleday Books
The Chamber,John Grisham,Doubleday Books
Warlock : A Novel of Ancient Egypt,Wilbur Smith,St. Martin's Paperbacks
The Teacher from the Black Lagoon,Mike Thaler,Scholastic
The Partner,John Grisham,Doubleday Books
Primal Scream,Michael Slade,Signet Book
Chosen Prey,John Sandford,Berkley Publishing Group
Guilty as Sin,TAMI HOAG,Bantam
Night Sins,TAMI HOAG,Bantam
The Second Time Around : A Novel,Mary Higgins Clark,Pocket
Three,Ted Dekker,WestBow Press
The Canopy,Angela Elwell Hunt,WestBow Press
Blink,Ted Dekker,WestBow Press
Last Battle,C. S. Lewis,Scholastic Paperbacks (Mm)
Prince Caspian,C. S. Lewis,MacMillan Publishing Company.
Robert's Rules of Order,William Eisner,Bantam Books
Abduction,Robin Cook,Berkley Publishing Group
And Never Let Her Go : Thomas Capano: The Deadly Seducer,Ann Rule,Pocket
Not a Day Goes By : A Novel,E. LYNN HARRIS,Anchor
Sun Signs,Linda Goodman,Bantam Doubleday Dell
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,Ballantine Books
The Mummy or Ramses the Damned,Anne Rice,Ballantine Books
HIS LITTLE WOMEN : HIS LITTLE WOMEN,Judith Rossner,Pocket
Her Mother's Daughter,Marilyn French,Ballantine Books
Your Erroneous Zones,Wayne W. Dyer,Harpercollins
The Night Listener,Armistead Maupin,HarperCollins Publishers
Organizing from the Inside Out,Julie Morgenstern,"Henry Holt &amp, Company"
The Hellfire Club,Peter Straub,Random House Inc
"The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate",Jack,Hyperion Books
Vanished,Danielle Steel,Delacorte Press
The Women in His Life (G K Hall Large Print Book Series),Barbara Taylor Bradford,Thorndike Pr
The Morning After,Lisa Jackson,Zebra Books
Missing Susan,SHARYN MCCRUMB,Ballantine Books
Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,Bantam Books
Kitchen Privileges : A Memoir,Mary Higgins Clark,"Simon &amp, Schuster"
We Are Our Mothers' Daughters,Cokie Roberts,Perennial
Horus's Horrible Day (First Graders from Mars),Shana Corey,Scholastic
My Garden (Beginning Literacy),Jesse S. Ostrow,Scholastic
101 Dalmatians,Justine Korman,Golden Books Publishing Company
In the Dinosaur's Paw (Kids of the Polk Street School),PATRICIA REILLY GIFF,Yearling
Ralph S. Mouse,Beverly Cleary,Scholastic
"The First Journey (Animorphs. Alternamorphs, 1)",K. A. Applegate,Apple Signature (Scholastic)
How Do Dinosaurs Learn to Read,Jane Yolen,"Scholastic, Inc."
My First Book about Space (Golden Look-Look Books (Paperback)),Dinah L. Moche,Golden Books
You Be the Jury #02,Marvin Miller,Scholastic
Comic Characters,Craig Boldman,Golden Books
The Time Machine (Troll Illustrated Classics),H. G. Wells,Troll Communications Llc
I Like School (in My World Series),Bobbie Kalman,Crabtree Publishing Company
Sacred Ground,Mercedes Lackey,Tor Books
Burning Water (Burning Water),Mercedes Lackey,Tor Books
The Tightrope Walker,Dorothy Gilman,Fawcett Books
MoveOn's 50 Ways to Love Your Country: How to Find Your Political Voice and Become a Catalyst for Change,Moveon,Inner Ocean Publishing
Children of the Night,Mercedes Lackey,Tor Books
Rainbow the Stormy Life of Judy Garland,Christopher Finch,Ballantine Books
Cold Mountain (MTI) (Vintage Contemporaries),CHARLES FRAZIER,Vintage
A Fountain Filled With Blood (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,St. Martin's Paperbacks
Out of the Deep I Cry : A Clare Fergusson/Russ Van Alstyne Mystery,Julia Spencer-Fleming,St. Martin's Minotaur
Daisy Fay and the Miracle Man,Fannie Flagg,Warner Books
Little House On the Prairie,Laura Ingall Wilder,Scholastic Inc
Angela's Ashes: A Memoir,Frank McCourt,Scribner
The Next Accident,LISA GARDNER,Bantam
Socks (Cleary Reissue),Beverly Cleary,HarperTrophy
"The Pet Shop Mystery (Boxcar Children Special (Paper), No 7)",Gertrude Chandler Warner,"Albert Whitman &amp, Company"
In the Bleak Midwinter (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,St. Martin's Minotaur
"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,Del Rey
"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,Del Rey
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,Knopf Books for Young Readers
Eyeshot,Lynn S. Hightower,Harper Mass Market Paperbacks (Mm)
"If Ever I Return, Pretty Peggy-O",Sharyn McCrumb,Fawcett Books
The Rosewood Casket,Sharyn McCrumb,Signet Book
The Amazing Mrs. Pollifax,Dorothy Gilman,Fawcett Books
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,Perennial
The Unsung Hero,Suzanne Brockmann,Ivy Books
"Two Princesses of Bamarre, The",Gail Carson Levine,Eos
Ella Enchanted (rack),Gail Carson Levine,Avon
Passing for Thin : Losing Half My Weight and Finding My Self,FRANCES KUFFEL,Broadway
Bloodlines (Dog Lover's Mysteries),Susan Conant,Bantam Books
Kissing in Manhattan,DAVID SCHICKLER,Delta
Echoes,Maeve Binchy,Dell
Someone to Watch Over Me : A Novel,Judith McNaught,Pocket
The Toynbee Convector,Ray Bradbury,Spectra Books
One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,HarperTorch
The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,Perennial
A polar bear called Pingo,Ilona Koidahl,Childrens Press
Dark Lady,Richard North Patterson,Alfred A. Knopf
The Future Scrolls,Fern Michaels,Zebra Books
About Face,Fern Michaels,Zebra Books
Tarot Says Beware (A Herculeah Jones Mystery),Betsy Byars,Viking Books
Globalhead,Bruce Sterling,Spectra Books
